name_en,weapon_type,name_ja,name_fr,name_it,name_de,name_es,name_pt,name_pl,name_ru,name_ko,name_zh,name_ar
Pulsar Strongarm II,charge-blade,パルサーアームズⅡ,Décapiteur pulsar II,Braccia pulsanti II,Pulsar-Schläger II,Aspa Púlsar II,Braço Pulsar II,Siłówka pulsarowa II,Штык-нож-пульсар 2,펄서암즈Ⅱ,脈衝兵裝Ⅱ,النصل القوي النابض II
Pulsar Strongarm III,charge-blade,パルサーアームズⅢ,Décapiteur pulsar III,Braccia pulsanti III,Pulsar-Schläger III,Aspa Púlsar III,Braço Pulsar III,Siłówka pulsarowa III,Штык-нож-пульсар 3,펄서암즈Ⅲ,脈衝兵裝Ⅲ,النصل القوي النابض III
Kadachi Kaina I,charge-blade,カガチノカイナⅠ,Kaina Kadachi,Braccia Kadachi I,Kadachi-Kaina I,Kaina Kadachi I,Kaina Kadachi I,Kaina Kadachi I,Кадачи кайна 1,카가치의팔Ⅰ,飛雷龍之腕Ⅰ,كاداتشي كاينا I
Kadachi Kaina II,charge-blade,カガチノカイナⅡ,Kaina Kadachi II,Braccia Kadachi II,Kadachi-Kaina II,Kaina Kadachi II,Kaina Kadachi II,Kaina Kadachi II,Кадачи кайна 2,카가치의팔Ⅱ,飛雷龍之腕Ⅱ,كاداتشي كاينا II
Kadachi Kaina III,charge-blade,カガチノカイナⅢ,Kaina Kadachi III,Braccia Kadachi III,Kadachi-Kaina III,Kaina Kadachi III,Kaina Kadachi III,Kaina Kadachi III,Кадачи кайна 3,카가치의팔Ⅲ,飛雷龍之腕Ⅲ,كاداتشي كاينا III
Kadachi Soul I,charge-blade,カガチノミタマⅠ,Âme Kadachi,Anima Kadachi I,Kadachi-Seele I,Alma Kadachi I,Alma de Kadachi I,Dusza Kadachi I,Душа кадачи 1,카가치의 혼백Ⅰ,飛雷龍御靈Ⅰ,روح كاداتشي I
Kadachi Soul II,charge-blade,カガチノミタマⅡ,Âme Kadachi II,Anima Kadachi II,Kadachi-Seele II,Alma Kadachi II,Alma de Kadachi II,Dusza Kadachi II,Душа кадачи 2,카가치의 혼백Ⅱ,飛雷龍御靈Ⅱ,روح كاداتشي II
Viper's Venom I,charge-blade,ベニカガチノドクシュⅠ,Venin de vipère I,Veleno di vipera I,Viperngift I,Veneno Vípero I,Veneno da Víbora I,Jad żmii I,Яд аспида 1,베니카가치의 독수Ⅰ,朱赤毒之腕Ⅰ,سم الثعبان I
Viper's Venom II,charge-blade,ベニカガチノドクシュⅡ,Venin de vipère II,Veleno di vipera II,Viperngift II,Veneno Vípero II,Veneno da Víbora II,Jad żmii II,Яд аспида 2,베니카가치의 독수Ⅱ,朱赤毒之腕Ⅱ,سم الثعبان II
Garon Strongarm I,charge-blade,ガロンアームズⅠ,Décapiteur Garon,Forza di Garon I,Garon-Schläger I,Aspa Garon I,Braço de Garon I,Siłówka Garona I,Штык-нож гарона 1,가론암즈Ⅰ,慘爪兵裝 Ⅰ,نصل غارون القوي I
Garon Strongarm II,charge-blade,ガロンアームズⅡ,Décapiteur Garon II,Forza di Garon II,Garon-Schläger II,Aspa Garon II,Braço de Garon II,Siłówka Garona II,Штык-нож гарона 2,가론암즈Ⅱ,慘爪兵裝 Ⅱ,نصل غارون القوي II
Hate's Undying Flame,charge-blade,憎しみの炎,Feu Immortel de la Haine,Fiamma dell'odio eterno,Unsterbliche Hassflamme,Llama de Odio Inmortal,Chama Imortal do Ódio,Płomień Nienawiści,Негасимая ненависть,증오의불꽃,憎恨的火炎,لهب الكره الأبدي
Odium,charge-blade,憎【オディウム】,Odium,Odium,Odium,Odium,Odium,Odium,Одиум,증오【오디엄】,憎【忿恨】,المقت
Odium+,charge-blade,憎【オディウム】改,Odium +,Odium+,Odium+,Odium+,Odium+,Odium+,Одиум+,증오【오디엄】+,憎【忿恨】‧改,المقت+
Animus,charge-blade,憎悪【アニムス】,Animus,Animus,Animus,Animus,Animus,Animus,Анимус,증오【아니무스】,憎惡【精神】,العدواني
Nether Candle,charge-blade,冥府の炎,Bougie du chaos,Candela infernale,Nether-Kerze,Candil Abisal,Vela do Submundo,Świeczka podziemi,Адская свеча,명부의 불꽃,冥府之炎,شمعة السفلية
Grudge,charge-blade,死怨【グラッジ】,Rancune,Rancore,Groll,Agravio,Ressentimento,Uraza,Вражда,사원【그루지】,死怨【厭恨】,ضغينة
Dragonbone Cutter I,charge-blade,龍骨盾斧Ⅰ,Découpeur draconique,Lama caricata dragosso I,DrachenknochnSchneider I,Aspa Dracóstea I,Cortador de Dragosso I,Rębacz sm. kości I,Драконий резак 1,용골순부Ⅰ,龍骨盾斧Ⅰ,قاطع عظام التنين I
Dragonbone Cutter II,charge-blade,龍骨盾斧Ⅱ,Découpeur draconique II,Lama caricata dragosso II,DrachnknochnSchneider II,Aspa Dracóstea II,Cortador de Dragosso II,Rębacz sm. kości II,Драконий резак 2,용골순부Ⅱ,龍骨盾斧Ⅱ,قاطع عظام التنين II
Dragonbone Cutter III,charge-blade,龍骨盾斧Ⅲ,Découpeur draconique III,Lama caricata dragosso III,DrachnknochnSchneider III,Aspa Dracóstea III,Cortador de Dragosso III,Rębacz sm. kości III,Драконий резак 3,용골순부Ⅲ,龍骨盾斧Ⅲ,قاطع عظام التنين III
Dragonseal Blade I,charge-blade,龍封じの盾斧Ⅰ,Lame Sceau-de-dragon,Ascia sigillo I,Drachensiegel-Klinge I,Hoja sello dragón I,Lâmina Selo do Dragão I,Ostrze smoczej piecz. I,Клинок дракон. печати 1,용봉인 차지액스Ⅰ,封龍盾斧Ⅰ,نصل ختم التنين I
Dragonseal Blade II,charge-blade,龍封じの盾斧Ⅱ,Lame Sceau-de-dragon II,Ascia sigillo II,Drachensiegel-Klinge II,Hoja sello dragón II,Lâmina Selo do Dragão II,Ostrze smoczej piecz. II,Клинок дракон. печати 2,용봉인 차지액스Ⅱ,封龍盾斧Ⅱ,نصل ختم التنين II
Inescapable Karma,charge-blade,業力不滅－閻王－,Karma inexorable,Karma ineluttabile,Unausweichliches Karma,Karma insoslayable,Carma Inevitável,Nieunikniona karma,Неотвратимая карма,업력불멸-염라-,業力不滅－閻王－,عاقبة لا مفر منها
Magda Manus,charge-blade,マグダ・マヌス,Magda Manus,Manus Magda,Magdaros-Manus,Magda Manus,Mãos de Magda,Magda Manus,Десница Дзоры,마그다-마누스,熔山龍盾斧,ماغدا مانوس
Avenging Magda Manus,charge-blade,捲土重来マグマヌス,Magda Manus le Vengeur,Vendicatore Magda,Rächende Magdaros-Manus,Magda Manus Vengadora,Mãos Vingadoras de Magda,Mściwa Magda Manus,Карающая десница Дзоры,권토중래마그마누스,捲土重來熔山龍盾斧,الانتقام لماغدا مانوس
Magda Manus Reforged,charge-blade,真・捲土重来マグマス,Magda Manus reforgée,Manus Magda riforgiata,Magda-Manus-Erneuerung,Magda Manus reforjada,Mãos Reforjadas de Magda,Przekuty Magda Manus,Новая десница дзоры,진-권토중래마그마누스,真‧捲土重來熔山龍盾斧,ماغدا مانوس المعدّل
Blacksteel Charger I,charge-blade,黒鋼の盾斧Ⅰ,Chargeur sombracier,Lama caricata neracciaio I,Schwarzstahl-Lader I,Bipenis Acero Negro I,Carga de Aço Negro I,Ładownik z cz. stali I,Черный клинок 1,흑강의차지액스Ⅰ,黑鋼盾斧Ⅰ,شاحن الفولاذ الأسود I
Blacksteel Charger II,charge-blade,黒鋼の盾斧Ⅱ,Chargeur sombracier II,Lama caricata neracciaio II,Schwarzstahl-Lader II,Bipenis Acero Negro II,Carga de Aço Negro II,Ładownik z cz. stali II,Черный клинок 2,흑강의차지액스Ⅱ,黑鋼盾斧Ⅱ,شاحن الفولاذ الأسود II
Daora's Casca,charge-blade,ダオラ＝カスカ,Casca Daora,Casca Daora,Daoras Casca,Casca Daora,Casca de Daora,Casca Daory,Шлем даоры,다오라카스카,鋼龍冰盾,داورا كاسكا
Daora's Thwartoise,charge-blade,ダオラ＝ゲンム,Tortue Daora,Thwartoise Daora,Daoras Vereitlung,Tortuga Daora,Tartamuro de Daora,Psółw Daory,Разрушитель даоры,다오라겐무,鋼龍幻夢,ثورتس داورا
Daora's Worldbearer,charge-blade,ダオラ＝アクパーラ,Portemonde Daora,Issamondo Daora,Daoras Weltenträger,Portamundo de Daora,Atlas de Daora,Atlas Daory,Атлант даоры,다오라아크파라,鋼龍白日夢,نصل داورا حامل العالم
Xeno Ra'atz,charge-blade,ゼノ＝ラーツ,Xeno Ra'atz,Ra'atz Xeno,Xeno-Ra'atz,Xeno Ra'atz,Ra'atz de Xeno,Xeno Ra'atz,Ксено-ра’атц,제노라츠,冥燈龍盾斧,زينو رائتاز
Tyrant's Charge Blade,charge-blade,暴虐の盾斧,Volto-hache du tyran,Lama del tiranno,Tyrannen-Energieklinge,Hacha cargada Tiránica,Serralâmina do Tirano,Ładowane ostrze tyrana,Силовой клинок тирана,포학의 순부,暴虐的盾斧,نصل الطاغية المشحون
Oppressor's Charge Blade,charge-blade,デストネーター,Volto-hache de l'oppresseur,Lama del despota,Zwingherr-Energieklinge,Hacha cargada Opresora,Serralâmina do Opressor,Ładowane ostrze ciemięzcy,Силовой клинок угнетателя,데스토네이터,德斯特涅塔,نصل الجائر المشحون
Fate's Curtain,charge-blade,業盾グルドレッド,Rideau du Destin,Cortina del fato,Schicksalsschleier,Cortina del destino,Véu do Destino,Kurtyna przeznaczenia,Занавес судьбы,업순 굴드레드,業盾赤婪,ستار القدر
Dante's Devil Sword,charge-blade,ダンテの魔剣,Épée démoniaque de Dante,Lama demoniaca di Dante,Dantes Teufelsschwert,Espada demoníaca de Dante,Lâmina Demônio Dante,Demoniczny Miecz Dantego,Клинок Данте,단테의 마검,但丁的魔劍,نصل العفريت لدانتي
Dante's Devil Sword+,charge-blade,ダンテの魔剣・改,Épée démoniaque de Dante +,Lama demoniaca di Dante+,Dantes Teufelsschwert+,Espada demoníaca Dante+,Lâmina Demônio Dante+,Demon. Miecz Dantego+,Клинок Данте+,단테의 마검+,但丁的魔劍‧改,سيف العفريت لدانتي+
Empress Alma,charge-blade,エンプレスアルマ,Alma Imperatrix,Alma fiamma,Kaiserin-Alma,Alma Lunastra,Alma da Luna,Alma Luny,Альма императрицы,엠프리스알마,皇后武器,روح الإمبراطورة
"Empress Alma ""Blaze""",charge-blade,エンプレスアルマ・炎妃,"Alma Imperatrix ""Lethe""","Alma fiamma ""Vampa""","Kaiserin-Alma ""Lunastra""",Alma Lunastra (Luna),Alma da Luna Chama,Alma Luny „Żar”,"Альма ""Пламя""",엠프리스알마-염비,皇后武器‧炎妃,"روح الإمبراطورة ""لهيب"""
"Soulfire Brand ""Blaze""",charge-blade,魂焔の盾斧・炎妃,"Brette embrasée ""Lethe""","Brando fuoco ""Vampa""","Seelenfeuerbrand ""Lunastra""",Spatha alma ígnea (Luna),Marca Fogalma Chama,"Znak ognia duszy ""Żar""","Клеймо огня души ""Пламя""",혼염의 순부-염비,魂焰盾斧‧炎妃,"فأس روح النار ""لهيب"""
"Empress Alma ""Ruin""",charge-blade,エンプレスアルマ・滅尽,"Alma Imperatrix ""Hadès""","Alma fiamma ""Rovina""","Kaiserin-Alma ""Nergigante""",Alma Lunastra (Nerg),Alma da Luna Ruína,Alma Luny „Ruina”,"Альма ""Разруха""",엠프리스알마-멸진,皇后武器‧滅盡,"روح الإمبراطورة ""تجدد"""
"Soulfire Brand ""Ruin""",charge-blade,魂焔の盾斧・滅尽,"Brette embrasée ""Hadès""","Brando fuoco ""Rovina""","Seelenfeuerbrand ""Nergigante""",Spatha alma ígnea (Nerg),Marca Fogalma Ruína,"Znak ognia duszy ""Ruina""","Клеймо огня души ""Разруха""",혼염의 순부-멸진,魂焰盾斧‧滅盡,"فأس روح النار ""دمار"""
"Empress Alma ""Styx""",charge-blade,エンプレスアルマ・冥灯,"Alma Imperatrix ""Styx""","Alma fiamma ""Stige""","Kaiserin-Alma ""Xeno'jiiva""",Alma Lunastra (Xeno),Alma da Luna Estige,Alma Luny „Styks”,"Альма ""Стикс""",엠프리스알마-명등,皇后武器‧冥燈,"روح الإمبراطورة ""تنافس"""
"Soulfire Brand ""Styx""",charge-blade,魂焔の盾斧・冥灯,"Brette embrasée ""Styx""","Brando fuoco ""Stige""","Seelenfeuerbrand ""Xeno'jiiva""",Spatha alma ígnea (Xeno),Marca Fogalma Estige,"Znak ognia duszy ""Styks""","Клеймо огня души ""Стикс""",혼염의 순부-명등,魂焰盾斧‧冥燈,"فأس روح النار ""تنافس"""
Rajang Beastblade,charge-blade,金剛盾斧,Lame bestiale Rajang,Belvalama Rajang,Rajang-Bestienklinge,Cuchilla bestial,Animalâmina de Rajang,Bestial. ostrze Rajanga,Звериный клинок раянга,금강순부,金剛盾斧,نصل راجانغ الوحشي
Rajang Beastblade Ikazuchi,charge-blade,金剛盾斧イカヅチ,Lame bestiale Rajang Ikazuchi,Belvalama Rajang Ikazuchi,Rajang-Bestienklinge Ikazuchi,Ikazuchi Rajang bestial,Animalâmina Rajang Ikazuchi,Best. Ikazuchi Rajanga,"Клинок раянга ""Иказучи""",금강순부 번개,金剛盾斧雷霆,نصل راجانغ إيكازوشي
Demonlord Blade,charge-blade,鬼神盾斧【夜叉】,"Flissa démon ""Yasha""",Lama arcidemone,Dämonenfürst-Klinge,Cuchilla endemoniada,Lâmina do Demolorde,Ostrze władcy demonów,Клинок царя демонов,귀신순부【야차】,鬼神充能斧【夜叉】,نصل العفريت السيد
Brimstren Drakeclaw,charge-blade,獄盾斧リュウケン,Griffe draconienne infernale,Egida di Brimstren,Brimstren-Drakenklaue,Garra de Brimstren,Dragogarra Enérgica,Siarczysty szpon smoka,Коготь серной виверны,수선부 류켄,獄盾斧龍拳,مخلب درايك بريمسترين
Stygian Maledicta,charge-blade,狼牙盾斧【呪獄】,Malédiction stygienne,Egida infernale mannara,Höllen-Maledicta,Maledicta Estigia,Maledicta Tenebrosa,Stygijskie Maledicta,Стигийское проклятие,낭아선부【주옥】,狼牙盾斧【呪獄】,لعنة جهنمية
Lightbreak Charge Blade,charge-blade,砕光の盾斧,Volto-hache de lumière,Lama caricata d'alba,Lichtbruch-Energieklinge,Hacha carg. parteluz,Lâmina Dínamo Quebraluz,Ład. ostrze światłości,Сил. клинок первых лучей,쇄광의 순부,碎光之盾斧,نصل البرق المشحون
Guild Palace Disc,charge-blade,ギルドパレスディスク,Disque palazzo,Discus Palatium,Palast-Scheibe,Rodela palacio gremial,Disco Palácio da Guilda,Dysk pałacu Gildii,Диск дворца гильдии,길드팰리스디스크,公會宮殿碟斧,قرص قصر النقابة
Royal Star Shield,charge-blade,宮廷鏡盾【機星】,"Bouclier royal ""Étoile""",Scudo regale,Königliches Sternenschild,Escudo Estrella Real,Lâmina Estrela Real,Tarcza król. gwiazdy,Королевский звездный щит,궁정경순【기성】,宮廷鏡盾【機星】,درع النجم الملكي
Defender Glaive I,insect-glaive,防衛隊両刃型操虫棍Ⅰ,Glaive du Défenseur,Falcione del difensore I,Verteidiger-Glefe I,Glaive de defensor I,Glaive Defensora I,Glewia Obrońcy I,Глефа защитника 1,수비대 양인형 조충곤Ⅰ,防衛隊兩刃型操蟲棍Ⅰ,سيف حشرة المدافع I
Defender Glaive II,insect-glaive,防衛隊両刃型操虫棍Ⅱ,Glaive du Défenseur II,Falcione del difensore II,Verteidiger-Glefe II,Glaive de defensor II,Glaive Defensora II,Glewia Obrońcy II,Глефа защитника 2,수비대 양인형 조충곤Ⅱ,防衛隊兩刃型操蟲棍Ⅱ,سيف حشرة المدافع II
Defender Glaive III,insect-glaive,防衛隊両刃型操虫棍Ⅲ,Glaive du Défenseur III,Falcione del difensore III,Verteidiger-Glefe III,Glaive de defensor III,Glaive Defensora III,Glewia Obrońcy III,Глефа защитника 3,수비대 양인형 조충곤Ⅲ,防衛隊兩刃型操蟲棍Ⅲ,سيف حشرة المدافع III
Defender Glaive IV,insect-glaive,防衛隊両刃型操虫棍Ⅳ,Glaive du Défenseur IV,Falcione del difensore IV,Verteidiger-Glefe IV,Glaive de defensor IV,Glaive Defensora IV,Glewia Obrońcy IV,Глефа защитника 4,수비대 양인형 조충곤Ⅳ,防衛隊兩刃型操蟲棍Ⅳ,سيف حشرة المدافع IV
Defender Glaive V,insect-glaive,防衛隊両刃型操虫棍Ⅴ,Glaive du Défenseur V,Falcione del difensore V,Verteidiger-Glefe V,Glaive de defensor V,Glaive Defensora V,Glewia Obrońcy V,Глефа защитника 5,수비대 양인형 조충곤Ⅴ,防衛隊兩刃型操蟲棍Ⅴ,سيف حشرة المدافع V
Iron Blade I,insect-glaive,アイアンブレードⅠ,Glaive en fer,Lama di ferro I,Eisenklinge I,Vara Férrea I,Lâmina de Ferro I,Żelazne ostrze I,Железный клинок 1,아이언블레이드Ⅰ,鐵製長刀Ⅰ,النصل الحديد I
Iron Blade II,insect-glaive,アイアンブレードⅡ,Glaive en fer II,Lama di ferro II,Eisenklinge II,Vara Férrea II,Lâmina de Ferro II,Żelazne ostrze II,Железный клинок 2,아이언블레이드Ⅱ,鐵製長刀Ⅱ,النصل الحديد II
Iron Blade III,insect-glaive,アイアンブレードⅢ,Glaive en fer III,Lama di ferro III,Eisenklinge III,Vara Férrea III,Lâmina de Ferro III,Żelazne ostrze III,Железный клинок 3,아이언블레이드Ⅲ,鐵製長刀Ⅲ,النصل الحديد III
Steel Blade I,insect-glaive,スティールブレードⅠ,Glaive d'acier,Lama d'acciaio I,Stahlklinge I,Hoja Acerada I,Lâmina de Aço I,Stalowe ostrze I,Стальной клинок 1,스틸블레이드Ⅰ,鋼鐵長刀Ⅰ,النصل الفولاذي I
Steel Blade II,insect-glaive,スティールブレードⅡ,Glaive d'acier II,Lama d'acciaio II,Stahlklinge II,Hoja Acerada II,Lâmina de Aço II,Stalowe ostrze II,Стальной клинок 2,스틸블레이드Ⅱ,鋼鐵長刀Ⅱ,النصل الفولاذي II
Steel Blade III,insect-glaive,スティールブレードⅢ,Glaive d'acier III,Lama d'acciaio III,Stahlklinge III,Hoja Acerada III,Lâmina de Aço III,Stalowe ostrze III,Стальной клинок 3,스틸블레이드Ⅲ,鋼鐵長刀Ⅲ,النصل الفولاذي III
Chrome Blade I,insect-glaive,クロムブレードⅠ,Lame chromée,Lama cromata I,Chromklinge I,Cromoespada I,Lâmina Cromada I,Chromowe ostrze I,Блестящий клинок 1,크롬블레이드Ⅰ,鉻鋼長刀Ⅰ,النصل الكروم I
Chrome Blade II,insect-glaive,クロムブレードⅡ,Lame chromée II,Lama cromata II,Chromklinge II,Cromoespada II,Lâmina Cromada II,Chromowe ostrze II,Блестящий клинок 2,크롬블레이드Ⅱ,鉻鋼長刀Ⅱ,النصل الكروم II
Chrome Trident I,insect-glaive,クロムトライデントⅠ,Trident chromé,Tridente cromato I,Chromdreizack I,Cromotridente I,Tridente Cromado I,Chromowy trójząb I,Блестящий трезубец 1,크롬트라이던트Ⅰ,鉻鋼三叉Ⅰ,رمح الكروم الثلاثي I
Chrome Trident II,insect-glaive,クロムトライデントⅡ,Trident chromé II,Tridente cromato II,Chromdreizack II,Cromotridente II,Tridente Cromado II,Chromowy trójząb II,Блестящий трезубец 2,크롬트라이던트Ⅱ,鉻鋼三叉Ⅱ,رمح الكروم الثلاثي II
Chrome Trident III,insect-glaive,クロムトライデントⅢ,Trident chromé III,Tridente cromato III,Chromdreizack III,Cromotridente III,Tridente Cromado III,Chromowy trójząb III,Блестящий трезубец 3,크롬트라이던트Ⅲ,鉻鋼三叉Ⅲ,رمح الكروم الثلاثي III
Royal Bolt Scepter,insect-glaive,王棍イナズマ,Sceptre éclair royal,Scettro regale saetta,Königliches Bolzenzepter,Cetro rayo real,Cetro Raio Régio,Król. berło piorunów,Скипетр царской молнии,왕곤 이나즈마,王棍雷電,صولجان صاعقة ملكي
Royal Bolt Scepter+,insect-glaive,王棍イナズマ改,Sceptre éclair royal+,Scettro regale saetta+,Königliches Bolzenzepter+,Cetro rayo real+,Cetro Raio Régio+,Król. berło piorunów+,Скипетр царской молнии+,왕곤 이나즈마+,王棍雷電‧改,صولجان صاعقة ملكي+
Despot's Twinbolt,insect-glaive,王牙棍【別雷】,Double éclair du despote,Scettro regale bisaetta,Despoten-Zwillingsbolzen,Duorayo de déspota,Raioduplo do Déspota,Dwustrzał despoty,Двойной разряд деспота,왕아곤【별뢰】,王牙棍【別雷】,صاعقة الطاغية المزدوجة
Nergal Reaper,insect-glaive,ネルガルハッシュ,Fossoyeuse Nergal,Mietitore Nergi,Nergal-Schläger,Choque Nergal,Ceifador de Nergal,Nergalny Kosiarz,Нергальский жнец,네르갈핫슈,滅盡龍的沉靜,القاطع الهامس
Catastrophe's Light,insect-glaive,撲滅の導灯,Catastrophe,Luce della catastrofe,Licht der Katastrophe,Luz Catastrófica,Luz Catastrófica,Światło Katastrofy,Свет катастрофы,박멸의등불,撲滅導燈,ضوء الكارثة
Ruinous Catastrophe,insect-glaive,撲滅の導灯【闇】,Catastrophe exorbitante,Catastrofe razziante,Ruinen-Katastrophe,Catástrofe regia,Catástrofe Ferrenha,Niszczycielska klęska,Губительная катастрофа,박멸의등불【암】,撲滅導燈【闇】,كارثة الضَرُوس
Flame Glaive I,insect-glaive,フレイムブレードⅠ,Glaive de feu,Falcione infuocato I,Flammenglefe I,Glaive Abrasador I,Flâmina I,Glewia ognia I,Огненная глефа 1,플레임블레이드Ⅰ,火焰長刀Ⅰ,سيف اللهب I
Flame Glaive II,insect-glaive,フレイムブレードⅡ,Glaive de feu II,Falcione infuocato II,Flammenglefe II,Glaive Abrasador II,Flâmina II,Glewia ognia II,Огненная глефа 2,플레임블레이드Ⅱ,火焰長刀Ⅱ,سيف اللهب II
Rathmaul,insect-glaive,火竜棍,Insectoglaive Rathalos,Maglio Rath,Rathdemolierer,Rathmaul,Malho Rathaliano,Postrath,Истязатель,화룡곤,火龍棍,راذمول
Firedance Rathmaul,insect-glaive,火竜棍【炎舞】,La Danse du Feu,Danza del fuoco Rath,Feuertanz-Rathdemolierer,Rathmaul Danza Ígnea,Malho Rathaliano de Fogo,Postrath Ogniotańca,Пламенный истязатель,화룡곤【염무】,火龍棍【炎舞】,راذمول الناري
Firedance Rathmaul+,insect-glaive,火竜棍【炎舞】改,La Danse du Feu +,Danza del fuoco Rath+,Feuertanz-Rathdemolierer+,Rathmaul Danza Ígnea+,Malho Rathaliano Fogo+,Postrath Ogniotańca+,Пламенный истязатель+,화룡곤【염무】+,火龍棍【炎舞】‧改,راذمول الناري+
Azure Flightmaster,insect-glaive,蒼炎棍【飛翔】,Maître des cieux azur,Granvolo azzurro,Azur-Flugmeister,Maestro vuelo celeste,Mestre Aéreo Lazúli,Lazurowy mistrz lotu,Лазурный мастер полета,창염곤【비상】,蒼炎棍【飛翔】,سيد الرحلات اللازوردي
Blossomajesty,insect-glaive,繚乱の輝竜戟,Son Altesse rose,Maestà floreale,Blütenpracht,Majestad floral,Florescerrégia,Kwitnący majestat,Королевский бутон,요란의 휘룡극,繚亂輝龍棍,ربيع ملكي
Kulu Blade I,insect-glaive,クルルブレードⅠ,Lame Kulu,Lama Kulu I,Kulu-Klinge I,Hoja Kulu I,Lâmina de Kulu I,Ostrze Kulu I,Клинок кулу 1,쿠루루블레이드Ⅰ,搔鳥長刀Ⅰ,نصل كولو I
Kulu Blade II,insect-glaive,クルルブレードⅡ,Lame Kulu II,Lama Kulu II,Kulu-Klinge II,Hoja Kulu II,Lâmina de Kulu II,Ostrze Kulu II,Клинок кулу 2,쿠루루블레이드Ⅱ,搔鳥長刀Ⅱ,نصل كولو II
Kulu Blade III,insect-glaive,クルルブレードⅢ,Lame Kulu III,Lama Kulu III,Kulu-Klinge III,Hoja Kulu III,Lâmina de Kulu III,Ostrze Kulu III,Клинок кулу 3,쿠루루블레이드Ⅲ,搔鳥長刀Ⅲ,نصل كولو III
Ya-Ku Wrath I,insect-glaive,アルノーラスⅠ,Colère du Ya-Ku,Ira Ya-Ku I,Ya-Ku-Zorn I,Ira Ya-Ku I,Fúria de Ya-Ku I,Gniew ya-ku I,Гнев Йа-ку 1,아르노라스Ⅰ,星空長刀Ⅰ,غضب يا كو I
Ya-Ku Wrath II,insect-glaive,アルノーラスⅡ,Colère du Ya-Ku II,Ira Ya-Ku II,Ya-Ku-Zorn II,Ira Ya-Ku II,Fúria de Ya-Ku II,Gniew ya-ku II,Гнев Йа-ку 2,아르노라스Ⅱ,星空長刀Ⅱ,غضب يا كو II
Ya-Ku Wrath III,insect-glaive,アルノーラスⅢ,Colère du Ya-Ku III,Ira Ya-Ku III,Ya-Ku-Zorn III,Ira Ya-Ku III,Fúria de Ya-Ku III,Gniew ya-ku III,Гнев Йа-ку 3,아르노라스Ⅲ,星空長刀Ⅲ,غضب يا كو III
Yatir al-Nasr I,insect-glaive,ネスルヤティールⅠ,Yatir al-Nasr,Yatir al-Nasr I,Yatir al-Nasr I,Yatir al-Nasr I,Yatir al-Nasr I,Yatir al-Nasr I,Ятир аль-Наср 1,네스루야티르Ⅰ,巢穴飛躍Ⅰ,طيران النصر I
Yatir al-Nasr II,insect-glaive,ネスルヤティールⅡ,Yatir al-Nasr II,Yatir al-Nasr II,Yatir al-Nasr II,Yatir al-Nasr II,Yatir al-Nasr II,Yatir al-Nasr II,Ятир аль-Наср 2,네스루야티르Ⅱ,巢穴飛躍Ⅱ,طيران النصر II
Dios Rod,insect-glaive,ディオスロッド,Bâton Dios,Mazza Dios,Dios-Stab,Vara de Brachydios,Bastão Dios,Różdżka Diosa,Жезл диоса,디오스로드,碎龍長棍,عصا ديوس
Electrorod,insect-glaive,爆棍エレクトロッド,Électrosceptre,Elettromazza,Elektrostab,Electrovara,Eletrobastão,Elektroróżdżka,Электрический жезл,폭곤 엘렉트로드,爆棍一柱擎天,عصا صاعقة
Luminous Blade I,insect-glaive,イルミナルブレードⅠ,Glaive de lumière,Lama luminosa I,Leuchtende Klinge I,Hoja Lumínica I,Lâmina Luminosa I,Lśniące ostrze I,Сияющий клинок 1,일루미널블레이드Ⅰ,閃耀長刀Ⅰ,نصل مضيء I
Luminous Blade II,insect-glaive,イルミナルブレードⅡ,Glaive de lumière II,Lama luminosa II,Leuchtende Klinge II,Hoja Lumínica II,Lâmina Luminosa II,Lśniące ostrze II,Сияющий клинок 2,일루미널블레이드Ⅱ,閃耀長刀Ⅱ,نصل مضيء II
Destroyer Bo I,insect-glaive,デステリオバーラⅠ,Canne du destructeur,Bo distruttore I,Zerstörer-Bo I,Bo Destructor I,Bastão Destruidor I,Przetrzebiacz bo I,Бо уничтожения 1,데스테리오밸러Ⅰ,利刃長刀Ⅰ,بو المدمّر I
Destroyer Bo II,insect-glaive,デステリオバーラⅡ,Canne du destructeur II,Bo distruttore II,Zerstörer-Bo II,Bo Destructor II,Bastão Destruidor II,Przetrzebiacz bo II,Бо уничтожения 2,데스테리오밸러Ⅱ,利刃長刀Ⅱ,بو المدمّر II
Destroyer Bo III,insect-glaive,デステリオバーラⅢ,Canne du destructeur III,Bo distruttore III,Zerstörer-Bo III,Bo Destructor III,Bastão Destruidor III,Przetrzebiacz bo III,Бо уничтожения 3,데스테리오밸러Ⅲ,利刃長刀Ⅲ,بو المدمّر III
Diving Destroyer I,insect-glaive,ダイヴ＝デステリオⅠ,Destructeur de l'air,Desterio declinante I,Herabsausender Zerstörer I,Destructor picado I,Destruidor Mergulho I,Nurkujący niszczyciel I,Пикирующий губитель 1,다이브데스테리오Ⅰ,下潛長刀Ⅰ,مُدمّر غوص I
Diving Destroyer II,insect-glaive,ダイヴ＝デステリオⅡ,Destructeur de l'air II,Desterio declinante II,Herabsausender Zerstörer II,Destructor picado II,Destruidor Mergulho II,Nurkujący niszczyciel II,Пикирующий губитель 2,다이브데스테리오Ⅱ,下潛長刀Ⅱ,مُدمّر غوص II
